agency_cd,site_no,Date,daily_max_discharge_cfs,daily_mean_discharge_cfs,USGS_QA_code,year,month,day
USGS,2087500,8/1/1927,NA,540,A,1927,8,1
USGS,2087500,8/2/1927,NA,1760,A,1927,8,2
USGS,2087500,8/3/1927,NA,1080,A,1927,8,3
USGS,2087500,8/4/1927,NA,1250,A,1927,8,4
USGS,2087500,8/5/1927,NA,2020,A,1927,8,5
USGS,2087500,8/6/1927,NA,1190,A,1927,8,6
USGS,2087500,8/7/1927,NA,511,A,1927,8,7
USGS,2087500,8/8/1927,NA,366,A,1927,8,8
USGS,2087500,8/9/1927,NA,557,A,1927,8,9
USGS,2087500,8/10/1927,NA,704,A,1927,8,10
USGS,2087500,8/11/1927,NA,704,A,1927,8,11
USGS,2087500,8/12/1927,NA,489,A,1927,8,12
USGS,2087500,8/13/1927,NA,366,A,1927,8,13
USGS,2087500,8/14/1927,NA,270,A,1927,8,14
USGS,2087500,8/15/1927,NA,205,A,1927,8,15
USGS,2087500,8/16/1927,NA,252,A,1927,8,16
USGS,2087500,8/17/1927,NA,179,A,1927,8,17
USGS,2087500,8/18/1927,NA,155,A,1927,8,18
USGS,2087500,8/19/1927,NA,346,A,1927,8,19
USGS,2087500,8/20/1927,NA,489,A,1927,8,20
USGS,2087500,8/21/1927,NA,254,A,1927,8,21
USGS,2087500,8/22/1927,NA,423,A,1927,8,22
USGS,2087500,8/23/1927,NA,805,A,1927,8,23
USGS,2087500,8/24/1927,NA,446,A,1927,8,24
USGS,2087500,8/25/1927,NA,1370,A,1927,8,25
USGS,2087500,8/26/1927,NA,6540,A,1927,8,26
USGS,2087500,8/27/1927,NA,4190,A,1927,8,27
USGS,2087500,8/28/1927,NA,1820,A,1927,8,28
USGS,2087500,8/29/1927,NA,1080,A,1927,8,29
USGS,2087500,8/30/1927,NA,704,A,1927,8,30
USGS,2087500,8/31/1927,NA,605,A,1927,8,31
USGS,2087500,9/1/1927,NA,1200,A,1927,9,1
